File	Type	Category	Status	Notes
src/test/java/com/redhat/coolstore/service/ProductServiceTest.java	Test	Unit	TODO	Update to JUnit 5
src/test/java/com/redhat/coolstore/service/PromoServiceTest.java	Test	Unit	TODO	Update to JUnit 5
src/test/java/com/redhat/coolstore/service/ShippingServiceTest.java	Test	Unit	TODO	Update to JUnit 5
src/test/java/com/redhat/coolstore/service/ShoppingCartOrderProcessorTest.java	Test	Unit	CRITICAL	JMS mocks → SmallRye @Channel mocks
src/test/java/com/redhat/coolstore/service/ShoppingCartServiceTest.java	Test	Unit	TODO	Update to JUnit 5, stateless conversion
src/test/java/com/redhat/coolstore/utils/ProducersTest.java	Test	Unit	TODO	Update to JUnit 5
src/test/java/com/redhat/coolstore/utils/TransformersTest.java	Test	Unit	TODO	Update to JUnit 5
pom.xml	Config	Build	TODO	Update parent to Quarkus BOM, add quarkus-* extensions
src/main/resources/META-INF/persistence.xml	Config	Persistence	DELETE	Config moves to application.properties
src/main/webapp/WEB-INF/web.xml	Config	Web	DELETE	Config moves to application.properties
